film_title,category_name,rental_duration,quartiles
Westward Seabiscuit,Classics,7,4
Chamber Italian,Music,7,4
Roman Punk,Music,7,4
Spinal Rocky,Family,7,4
Lucky Flying,Music,7,4
Saturn Name,Comedy,7,4
Volume House,Classics,7,4
Iron Moon,Classics,7,4
Christmas Moonshine,Children,7,4
Heaven Freedom,Comedy,7,4
Dracula Crystal,Classics,7,4
Walls Artist,Children,7,4
Empire Malkovich,Children,7,4
Killer Innocent,Family,7,4
Dares Pluto,Animation,7,4
Pond Seattle,Animation,7,4
Dinosaur Secretary,Family,7,4
Operation Operation,Comedy,7,4
Bringing Hysterical,Comedy,7,4
Grease Youth,Family,7,4
Silence Kane,Music,7,4
Hollywood Anonymous,Children,7,4
Legally Secretary,Children,7,4
Room Roman,Animation,7,4
Sensibility Rear,Family,7,4
Argonauts Town,Animation,7,4
Gandhi Kwai,Family,7,4
Cruelty Unforgiven,Classics,7,4
Clockwork Paradise,Children,7,4
Legend Jedi,Music,7,4
Perfect Groove,Comedy,7,4
Robbers Joon,Children,7,4
Rebel Airport,Music,7,4
Chasing Fight,Family,7,4
Right Cranes,Classics,7,4
Bikini Borrowers,Animation,7,4
Blanket Beverly,Family,7,4
Blackout Private,Animation,7,4
Music Boondock,Family,7,4
Shepherd Midsummer,Children,7,4
Island Exorcist,Classics,7,4
Towers Hurricane,Classics,7,4
Wasteland Divine,Classics,7,4
Reds Pocus,Music,7,4
Trainspotting Strangers,Comedy,7,4
Graduate Lord,Children,7,4
Control Anthem,Comedy,7,4
Uncut Suicides,Music,7,4
Spiking Element,Classics,7,4
Musketeers Wait,Classics,7,4
Party Knock,Comedy,7,4
Hedwig Alter,Comedy,7,4
Crazy Home,Comedy,7,4
Santa Paris,Children,7,4
Braveheart Human,Family,7,4
Saddle Antitrust,Comedy,7,4
Borrowers Bedazzled,Animation,7,4
Freaky Pocus,Music,7,4
Canyon Stock,Animation,7,4
Deer Virginian,Music,7,4
Lights Deer,Classics,7,4
Frankenstein Stranger,Comedy,7,4
Oscar Gold,Animation,7,4
Home Pity,Music,7,4
Jedi Beneath,Family,7,4
Won Dares,Music,7,4
Hook Chariots,Animation,7,4
Patient Sister,Classics,7,4
Gilbert Pelican,Classics,7,4
Opposite Necklace,Family,7,4
Ghostbusters Elf,Animation,7,4
Forrester Comancheros,Animation,7,4
House Dynamite,Family,7,4
Desire Alien,Animation,7,4
Forever Candidate,Children,7,4
Menagerie Rushmore,Animation,7,4
Siege Madre,Family,7,4
Willow Tracy,Family,6,3
Hunting Musketeers,Family,6,3
Storm Happiness,Animation,6,3
Wrong Behavior,Children,6,3
Requiem Tycoon,Classics,6,3
Bedazzled Married,Family,6,3
Half Outfield,Family,6,3
Monster Spartacus,Music,6,3
Holocaust Highball,Children,6,3
Alaska Phantom,Music,6,3
Connection Microcosmos,Comedy,6,3
Alter Victory,Animation,6,3
Atlantis Cause,Family,6,3
Lawless Vision,Animation,6,3
Holy Tadpole,Classics,6,3
Polish Brooklyn,Children,6,3
Beneath Rush,Children,6,4
Microcosmos Paradise,Children,6,4
Runner Madigan,Music,6,4
President Bang,Family,6,4
Murder Antitrust,Children,6,4
Clones Pinocchio,Music,6,4
Pride Alamo,Animation,6,4
Nash Chocolat,Animation,6,4
Soup Wisdom,Family,6,4
Alice Fantasia,Classics,6,4
Rushmore Mermaid,Comedy,6,4
African Egg,Family,6,4
Snatch Slipper,Comedy,6,4
Scalawag Duck,Music,6,3
Voyage Legally,Classics,6,3
Ghost Groundhog,Children,6,3
Sunset Racer,Family,6,3
Jingle Sagebrush,Classics,6,3
Tequila Past,Children,6,3
Effect Gladiator,Family,6,3
Clash Freddy,Animation,6,3
Resurrection Silverado,Family,6,3
Flying Hook,Animation,6,3
Airplane Sierra,Comedy,6,3
Maguire Apache,Family,6,3
Movie Shakespeare,Family,6,3
Boogie Amelie,Music,6,3
Full Flatliners,Children,6,3
Telemark Heartbreakers,Animation,6,3
Feud Frogmen,Family,6,3
Crooked Frogmen,Children,6,3
Clue Grail,Music,6,3
Prejudice Oleander,Classics,6,3
Element Freddy,Comedy,6,3
Caper Motions,Comedy,6,3
Early Home,Animation,6,3
Jersey Sassy,Children,6,3
Wonka Sea,Animation,6,3
Homicide Peach,Family,6,3
Punk Divorce,Animation,6,3
Malkovich Pet,Classics,6,3
Driving Polish,Music,6,3
Extraordinary Conquerer,Classics,6,3
Warlock Werewolf,Children,6,3
Gladiator Westward,Family,6,3
Masked Bubble,Music,6,3
Color Philadelphia,Classics,6,3
Groundhog Uncut,Comedy,6,3
Confidential Interview,Music,6,3
Labyrinth League,Children,6,3
Floats Garden,Animation,6,3
Tadpole Park,Classics,6,3
October Submarine,Classics,6,3
Inch Jet,Animation,6,3
Impact Aladdin,Music,6,3
Lion Uncut,Comedy,6,3
Pilot Hoosiers,Family,6,3
Odds Boogie,Family,6,3
Sweden Shining,Comedy,6,3
Hurricane Affair,Comedy,6,3
Hyde Doctor,Classics,5,2
Watch Tracy,Animation,5,2
Dorado Notting,Music,5,2
Hanover Galaxy,Music,5,2
Manchurian Curtain,Family,5,2
Super Wyoming,Family,5,2
Potter Connecticut,Animation,5,2
Freedom Cleopatra,Comedy,5,2
Dogma Family,Animation,5,2
Comancheros Enemy,Children,5,2
Paradise Sabrina,Comedy,5,2
Dumbo Lust,Family,5,2
Gilmore Boiled,Classics,5,2
Center Dinosaur,Classics,5,2
Noon Papi,Children,5,2
Grosse Wonderful,Music,5,2
Uptown Young,Children,5,2
League Hellfighters,Classics,5,2
Circus Youth,Children,5,2
Hall Cassidy,Children,5,2
Idols Snatchers,Children,5,2
Frost Head,Classics,5,2
Bang Kwai,Family,5,2
Theory Mermaid,Animation,5,2
Sabrina Midnight,Children,5,2
Betrayed Rear,Children,5,2
Thief Pelican,Animation,5,2
Splash Gump,Family,5,2
Terminator Club,Music,5,2
Closer Bang,Comedy,5,2
Slums Duck,Family,5,2
Zoolander Fiction,Children,5,2
Language Cowboy,Children,5,2
Remember Diary,Family,5,2
Banger Pinocchio,Music,5,2
Splendor Patton,Children,5,2
Louisiana Harry,Family,5,2
Jawbreaker Brooklyn,Music,5,2
Sister Freddy,Children,5,2
Invasion Cyclone,Children,5,2
Creepers Kane,Classics,5,2
Chisum Behavior,Family,5,2
Anthem Luke,Comedy,5,3
Sling Luke,Classics,5,3
Dying Maker,Comedy,5,3
Crossroads Casualties,Animation,5,3
Balloon Homeward,Music,5,3
Sundance Invasion,Children,5,3
Submarine Bed,Comedy,5,3
Cat Coneheads,Comedy,5,3
Gunfight Moon,Comedy,5,3
Luke Mummy,Animation,5,3
Apache Divine,Family,5,3
Summer Scarface,Classics,5,3
Insider Arizona,Music,5,3
Jason Trap,Family,5,3
Heavenly Gun,Music,5,3
Chocolat Harry,Family,5,3
Enemy Odds,Music,5,3
Sleepless Monsoon,Animation,5,3
Oleander Clue,Music,5,3
Giant Troopers,Children,5,3
Network Peak,Family,5,3
Daddy Pittsburgh,Comedy,5,3
Greatest North,Music,5,3
Falcon Volume,Animation,5,3
Blues Instinct,Family,5,3
Bound Cheaper,Classics,5,3
Mystic Truman,Comedy,5,3
Memento Zoolander,Comedy,4,2
Roots Remember,Classics,4,2
Lolita World,Family,4,2
Doom Dancing,Comedy,4,2
Elf Murder,Music,4,2
Birdcage Casper,Music,4,2
Model Fish,Children,4,2
Snatchers Montezuma,Classics,4,2
Mulan Moon,Comedy,4,2
Jaws Harry,Comedy,4,2
Rage Games,Family,4,2
Double Wrath,Animation,4,2
Strangelove Desire,Children,4,2
Finding Anaconda,Family,4,2
Champion Flatliners,Animation,4,2
Maker Gables,Children,4,2
Pinocchio Simon,Comedy,4,2
Youth Kick,Music,4,2
Wizard Coldblooded,Music,4,2
Twisted Pirates,Children,4,2
Life Twisted,Comedy,4,2
Conspiracy Spirit,Classics,4,2
Donnie Alley,Animation,4,2
Cabin Flash,Children,4,2
Hate Handicap,Comedy,4,2
Gorgeous Bingo,Children,4,2
Amelie Hellfighters,Music,4,2
Indian Love,Family,4,2
Mallrats United,Comedy,4,2
Bear Graceland,Children,4,2
Knock Warlock,Comedy,4,2
Outfield Massacre,Music,4,2
Hocus Frida,Family,4,2
Natural Stock,Family,4,2
Club Graffiti,Animation,4,2
Pittsburgh Hunchback,Family,4,2
Candidate Perdition,Classics,4,2
Robbery Bright,Family,4,2
Spartacus Cheaper,Family,4,2
Date Speed,Family,4,2
Galaxy Sweethearts,Classics,4,2
Million Ace,Classics,4,2
Steel Santa,Classics,4,2
Massage Image,Animation,4,2
Horn Working,Animation,4,1
Minority Kiss,Music,4,1
Carol Texas,Animation,4,1
Detective Vision,Classics,4,1
Prix Undefeated,Family,4,1
Vertigo Northwest,Comedy,4,1
Hope Tootsie,Classics,4,1
Taxi Kick,Music,4,1
Juggler Hardly,Animation,4,1
Loathing Legally,Classics,4,1
Gangs Pride,Animation,4,1
Duck Racer,Animation,4,1
Fireball Philadelphia,Comedy,4,1
Conversation Downhill,Family,4,1
Stage World,Comedy,4,1
Dynamite Tarzan,Classics,4,1
Oz Liaisons,Animation,4,1
Doctor Grail,Children,4,1
Ishtar Rocketeer,Animation,4,1
Gold River,Comedy,4,2
Jumping Wrath,Children,4,2
Birch Antitrust,Music,4,2
Tramp Others,Comedy,4,2
Wisdom Worker,Comedy,3,1
Go Purple,Music,3,1
Telegraph Voyage,Music,3,1
Fury Murder,Children,3,1
Lover Truman,Classics,3,1
Sunrise League,Animation,3,1
Words Hunter,Music,3,1
Jeopardy Encino,Classics,3,1
Baked Cleopatra,Family,3,1
Searchers Wait,Comedy,3,1
Core Suit,Classics,3,1
Tootsie Pilot,Children,3,1
King Evolution,Family,3,1
Sons Interview,Animation,3,1
Lovely Jingle,Classics,3,1
Magic Mallrats,Children,3,1
Arizona Bang,Classics,3,1
Sugar Wonka,Animation,3,1
Ties Hunger,Children,3,1
Virtual Spoilers,Family,3,1
Alone Trip,Music,3,1
Casper Dragonfly,Children,3,1
Insects Stone,Animation,3,1
Fight Jawbreaker,Animation,3,1
Gables Metropolis,Family,3,1
Rush Goodfellas,Family,3,1
Stranger Strangers,Children,3,1
Bilko Anonymous,Family,3,1
Anaconda Confessions,Animation,3,1
Jeepers Wedding,Classics,3,1
Blood Argonauts,Family,3,1
Pure Runner,Comedy,3,1
Packer Madigan,Animation,3,1
Mission Zoolander,Animation,3,1
Zorro Ark,Comedy,3,1
Tomorrow Hustler,Classics,3,1
Flintstones Happiness,Comedy,3,1
Hustler Party,Comedy,3,1
Valley Packer,Comedy,3,1
Turn Star,Animation,3,1
Wait Cider,Animation,3,1
Scarface Bang,Children,3,1
Fargo Gandhi,Children,3,1
Range Moonwalker,Family,3,1
Lonely Elephant,Comedy,3,1
Beast Hunchback,Classics,3,1
Strictly Scarface,Comedy,3,1
Doors President,Animation,3,1
Titanic Boondock,Animation,3,1
Earring Instinct,Family,3,1
Intentions Empire,Animation,3,1
Song Hedwig,Music,3,1
Velvet Terminator,Comedy,3,1
Confused Candles,Family,3,1
Snowman Rollercoaster,Animation,3,1
Sweethearts Suspects,Children,3,1
Heartbreakers Bright,Children,3,1
Downhill Enough,Comedy,3,1
Backlash Undefeated,Children,3,1
Tracy Cider,Animation,3,1
Timberland Sky,Classics,3,1
Vanishing Rocky,Music,3,1
Jerk Paycheck,Classics,3,1
Secrets Paradise,Family,3,1
Miracle Virtual,Animation,3,1
Magnificent Chitty,Classics,3,1
Harper Dying,Animation,3,1
Pajama Jawbreaker,Classics,3,1
Ferris Mother,Comedy,3,1
Daughter Madigan,Children,3,1
Personal Ladybugs,Music,3,1
Potluck Mixed,Animation,3,1
